公司名称,链接,申报稿,上会稿,注册稿
上海思客琦智能装备科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002162,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202303/RAS_202303_535E5A3B791D4E10A5C66A68CE12E346.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202305/RAS_202305_EF262D0851674C32979A197F9979B211.pdf,--
欧冶云商股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001516,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202209/RAS_202209_0001838CE49BE83FD84320BEC7CEEE3F.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202210/RAS_202210_000183F94CEBB13FEB44406B6B7ED73F.pdf,--
江苏新视云科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002627,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202310/RAS_202310_0FBE37AF0E464BBDA7F0F3EC445D1816.pdf,--,--
北京数聚智连科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001512,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202207/RAS_202207_000181B4F82B473FA8F8A692770F303F.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202208/RAS_202208_000182B4D042093FD2FCB7CAC399723F.pdf,--
赛克赛斯生物科技股份有限公司2,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002889,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_29200007D921DA99E1422190F197B2BA37687D.pdf,--,--
长春卓谊生物股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003355,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202312/RAS_202312_31225509E3F4B973A34C75907E079E86674479.pdf,--,--
深圳市麦驰物联股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002286,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202304/RAS_202304_712C4E81C7FF4F7BB67DD37E3C1CCC1C.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202305/RAS_202305_A159C9E7A3CF4B3B9BF6A792BE167C7B.pdf,--
深圳市城市规划设计研究院股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003400,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_2920404C7CC29DC5A147B79EBCBBEE82E25949.pdf,--,--
长沙都正生物科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003446,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202312/RAS_202312_3116253E4CC783CB3642019D2E7151C92FE8B5.pdf,--,--
创志科技（江苏）股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002135,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202302/RAS_202302_1875F24F25D046DC98A9573B8E948CCB.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202303/RAS_202303_831B5A10154F482EB140A33AB37C73B1.pdf,--
江苏东方四通科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003402,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202312/RAS_202312_B862109080EA4340A020F12EA01DB7DA.pdf,--,--
南航通用航空股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003287,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202312/RAS_202312_3BC303847E4845C68B0FDA6D14C44E91.pdf,--,--
上海百英生物科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003392,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202403/RAS_202403_192300A6CFA27A5F624F5FBB50399B29BBA4A3.pdf,--,--
联纲光电科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002503,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202401/RAS_202401_101535B63C9960FD6D447796CEDEE3D59FF25B.pdf,--,--
广东富强科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003382,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202312/RAS_202312_311345E5039816A50842B1A6D6E23C9B225BEE.pdf,--,--
东莞汇乐技术股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003289,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202312/RAS_202312_4F488F264E7144FF8E76F69B0F424296.pdf,--,--
朝阳微电子科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003302,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202312/RAS_202312_70BF6179DC534482B317738085EAB6D2.pdf,--,--
深圳市城市规划设计研究院股份有限公司2,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003400,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_2920404C7CC29DC5A147B79EBCBBEE82E25949.pdf,--,--
安徽马鞍山农村商业银行股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002988,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202309/RAS_202309_E1C11071889E45F9B8354AF46EDE0C13.pdf,--,--
湖南恒昌医药集团股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001733,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202312/RAS_202312_31091002E017F7702C40FFB53EEC4D445DA27D.pdf,--,--
浙江祥邦科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003275,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202401/RAS_202401_161500EBA2413EC5184F56A206D99F25AFBD8C.pdf,--,--
深圳市志橙半导体材料股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003406,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202403/RAS_202403_17205520E45B160506456A932EDE0AF8E84E58.pdf,--,--
