公司名称,板块,审核状态,地区,行业,保荐机构,律师事务所,会计师事务所,受理日期,更新日期,链接
瀚天天成电子科技（厦门）股份有限公司,科创板,终止,福建,计算机、通信和其他电子设备制造业,中国国际金融股份有限公司,北京市竞天公诚律师事务所,立信会计师事务所（特殊普通合伙）,2024-06-06,2023-12-29,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=2036
浙江金龙再生资源科技股份有限公司,主板,终止,浙江,造纸和纸制品业,海通证券股份有限公司,上海市锦天城律师事务所,立信会计师事务所（特殊普通合伙）,2024-06-06,2023-02-28,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1563
中路交科科技股份有限公司,主板,终止,江苏,专业技术服务业,安信证券股份有限公司,上海市锦天城律师事务所,信永中和会计师事务所（特殊普通合伙）,2024-06-06,2023-03-01,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1567
四川锦江电子医疗器械科技股份有限公司,科创板,终止,四川,专用设备制造业,中信证券股份有限公司,北京市海问律师事务所,天健会计师事务所（特殊普通合伙）,2024-06-05,2023-06-12,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1833
新湖期货股份有限公司,主板,终止,上海,资本市场服务,海通证券股份有限公司,北京市金杜律师事务所,立信会计师事务所（特殊普通合伙）,2024-06-05,2023-03-04,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1724
成都高速公路股份有限公司,主板,终止,四川,道路运输业,中信建投证券股份有限公司,北京市金杜律师事务所,安永华明会计师事务所（特殊普通合伙）,2024-06-04,2023-03-03,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1699
上海赢双电机科技股份有限公司,科创板,终止,上海,电气机械和器材制造业,海通证券股份有限公司,北京市中伦律师事务所,立信会计师事务所（特殊普通合伙）,2024-06-04,2023-06-16,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1841
苏州明皜传感科技股份有限公司,科创板,终止,江苏,计算机、通信和其他电子设备制造业,东方证券承销保荐有限公司,江苏世纪同仁律师事务所,众华会计师事务所（特殊普通合伙）,2024-06-04,2023-06-30,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1957
中智经济技术合作股份有限公司,主板,终止,上海,商务服务业,中信证券股份有限公司,北京金诚同达律师事务所,天职国际会计师事务所（特殊普通合伙）,2024-06-03,2023-03-02,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1626
常州百佳年代薄膜科技股份有限公司,主板,终止,江苏,橡胶和塑料制品业,华泰联合证券有限责任公司,北京市天元律师事务所,中审众环会计师事务所（特殊普通合伙）,2024-06-03,2023-03-01,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1628
苏州佳祺仕科技股份有限公司,主板,终止,江苏,专用设备制造业,海通证券股份有限公司,北京市天元律师事务所,公证天业会计师事务所（特殊普通合伙）,2024-05-31,2023-06-30,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1988
上海芯旺微电子技术股份有限公司,科创板,终止,上海,计算机、通信和其他电子设备制造业,招商证券股份有限公司,北京市嘉源律师事务所,立信会计师事务所（特殊普通合伙）,2024-05-30,2023-06-20,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1870
浙江安特磁材股份有限公司,主板,终止,浙江,计算机、通信和其他电子设备制造业,国信证券股份有限公司,浙江六和律师事务所,天健会计师事务所（特殊普通合伙）,2024-05-29,2023-03-02,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1603
佰聆数据股份有限公司,科创板,终止,广东,互联网和相关服务,民生证券股份有限公司,北京市金杜律师事务所,华兴会计师事务所（特殊普通合伙）,2024-05-29,2022-12-29,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1361
成都四方伟业软件股份有限公司,科创板,终止,四川,软件和信息技术服务业,平安证券股份有限公司,北京市天元律师事务所,大华会计师事务所（特殊普通合伙）,2024-05-28,2022-11-14,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1345
杭州华澜微电子股份有限公司,科创板,终止,浙江,软件和信息技术服务业,华泰联合证券有限责任公司,国浩律师（杭州）事务所,大信会计师事务所（特殊普通合伙）,2024-05-28,2022-12-29,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1426
宁波奥拉半导体股份有限公司,科创板,终止,浙江,软件和信息技术服务业,海通证券股份有限公司,北京市中伦律师事务所,致同会计师事务所（特殊普通合伙）,2024-05-27,2022-11-28,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1346
